name,place_of_birth,date_of_birth,date_of_death,place_of_death,nationality
Frans van Mieris (II),Leiden,1689-12-24,1763-10-22,Leiden,
Frans van den Wijngaerde,Antwerpen,1614-07-08,1679-03-17,Antwerpen,
Frans van der Mijn,Düsseldorf,1719,1783-08-20,Londen,
Frantz,,,,,
Franz Ertinger,Weil of Colmar,1640,,Parijs,
Franz Hanfstaengl,Beieren,1804-03-01,1877-04-18,München,
Franz Hohbach,,,,,
Franz Neumayer,,,,,
Franz Reissig,Maagdenburg,1852-04-15,1936-08-14,Breda,
Franz Seraph Hanfstaengl,Baierrain,1804,1877,München,
Franz Sigrist,Alt-Breisach,1727-05-23,1803-10-21,Wenen,
Franz Weisbrod,,,1873,,
Franz Wilhelm Deutmann,Dorsten,1809-06-21,1895-11-16,Delft,
Franz Wilhelm Heinrich Deutmann,Haarlem,1840-07-27,1906-07-09,Soest (Utrecht),
Franz Woditzka,,,,,
Franz Xaver Winterhalter,,1805,1873,,
Franz Ziegler,Harderwijk,1893-09-03,1939-11-12,Den Haag,
François André Vincent,Parijs,1746-12-30,1816-08-03,Parijs,
François Bonvin,Vaugirard,1817-11-22,1887-12-19,Saint-Germain-en-Laye,
François Boudewyns,,,1766,,
François Carlebur,Dordrecht,1821-10-09,1893-04-13,Dordrecht,
François Chauveau,Parijs,1613-05-10,1676-02-03,Parijs,
François Cornelis Knoll,Rotterdam,1772,1827-03-23,Rotterdam,
François Deroy,,,,,
François Gérard,Rome,1770-05-04,1837-01-11,Parijs,
François Hutin,,1685,1758-08,Parijs,
François Joseph Delintraz,Haute-Savoie,1827-08-25,1886-08-06,Parijs,
François Joseph Navez,Charleroi,1787-11-16,1869-10-12,Brussel,
François Marie,Granville,1826-07-29,,,
François Marie Isidore Queverdo,Josselin,1748-02-02,1797-12-24,Parijs,
François Marie Louis Franck,Somme,1816,1906,Asnières,
François Piron,Antwerpen,1835,,,
François Schillemans,Middelburg,1575,1630,,
François Stuerhelt,,,1652-05-17,Altona,
François Verwilt,Rotterdam,1623,1691-08-08,Rotterdam,
François van Bleyswijck,Leiden,1671-05-24,1746-10-15,Leiden,
François van Knibbergen,,1597,1665,,
Fratelli Alinari,,,,,
Fratelli Bernieri,,,,,
Fratelli d'Alessandri,,,,,
Frederic Flacheron,,,,,
Frederic Gijzen,Den Haag,1745,,,
Frederick Bloemaert,Utrecht,1614,1669,,
Frederick York,Bridgwater,1823,1903,Londen,
Frederik Christiaan Bierweiler,Amsterdam,1783-09-20,1831,Amsterdam,
Frederik Christiaan Filip Gräfe,Amsterdam,1835-01-30,1905-05-14,Delft,
Frederik Hendrik Hendriks,Arnhem,1808-01-17,1865-04-04,Arnhem,
Frederik Marinus Kruseman,Haarlem,1816-07-12,1882-05-25,Brussel,
Frederik Ottens,Amsterdam,,,,
Frederik Renard,,1824-03-05,1895-12-10,Gävle,
Frederik de Moucheron,Emden,1633,1686-01-05,Amsterdam,
Frederik de Wit,,1631,1706,Amsterdam,
Frederik van Valckenborch,Antwerpen,1566,1623-08-28,Neurenberg,
Fresse,,,,,
Fridolin Becker,Den Haag,1830,1895-03-02,Den Haag,
Friedrich Bopp,,,1884,,
Friedrich Brandseph,,1826,1916,,
Friedrich Bruckmann,Keulen,1814,1898,München,
Friedrich Carel Hisgen,Utrecht,1846-09-16,1912-04-26,Amsterdam,
Friedrich Carl Albert Schreuel,Maastricht,1773-06-14,1853,Dresden,
Friedrich Heuberg,Elberfeld,1840-02-20,,,
Friedrich Jacob Morisson,,,,,
Friedrich Julius von Kolkow,Danzig,1839-07-31,1914-08-04,Groningen,
Friedrich Müller,Kreuznach,1749,1825,Rome,
Friedrich Raps,,,,,
Friedrich Reclam,Maagdenburg,1734-02-10,1774-04-04,Berlijn,
Friedrich Rehberg,Hannover,1785-10-22,1835-08-20,München,
Friedrich Rossmässler,Leipzig,1775,1858,Leipzig,
Friedrich Rottmann,Handschuhsheim,1768,1816-01-29,Heidelberg,
Friese School 1542,,,,,
Frits Jansen,Den Haag,1856-01-20,1928-03-31,Voorburg,
Frits L.J. Moormans,Rotterdam,1842,1869,Rotterdam,
Fritz Ridiger,,1827-06-18,,,
Frédéric Boissonnas,Genève,1858-06-18,1946-10-17,Genève,
Félix Bonfils,Saint-Hippolyte-du-Fort,1831-03-08,1885-04-09,Alès,
Félix Nadar,Parijs,1820-04-06,1910-03-21,Parijs,
Félix-Jacques Moulin,Pas-de-Calais,1802-07-29,1879-10-01,Parijs,
G Sarolides,,,,,
G. A. Vernout,Haarlem,1848-08-29,1913-11-16,Haarlem,
G. Bevington,,,,,
G. Brown,,,,,
G. Dangereux,,,,,
G. Feldmeyer,,,,,
G. Heitel,,1840,1887,,
G. Hoogwinkel,Rotterdam,1838,1890,Rotterdam,
G. Hoogwinkel jr.,Rotterdam,1838,1890,Rotterdam,
G. Höfle,,,,,
G. Lekegian,,,,,
G. Lekegian & Co.,,,,,
G. Meyer (fotograaf),,,,,
G. Thiébault,,,,,
G. White,,,,,
G. Zazzarini et Cie.,,,,,
G.B. Unterweger,,,,,
G.C. Gilchrest,,1811,1888,,
G.J.,,,,,
G.W. Berckhout,,,,,
Gabriel Huquier,Orléans,1695,1772-06-11,Parijs,
Gabriël Metsu,Leiden,1629-01,1667-10-24,,
Gabriël van Rooyen,Utrecht,1752-12-19,1817-09-16,Amsterdam,
Garofalo,Ferrara (stad),1481,1559-09-06,Ferrara (stad),
Gaspar Bouttats,Antwerpen,1640,1695,,
Gaspar Huybrechts,,1619-09-12,,,
Gaspar de Crayer,Antwerpen,1584-11-18,1669-01-27,Gent,
Gaspard Dughet,Rome,1615-06-07,1675-05-25,Rome,
Gaspare Antonio Baroni di Cavalcabo,Sacco,1682,1759,,
Gasparo Diziani,Belluno,1689,1767,Venetië,
Gaudenzio Ferrari,Valduggia,1480,1546-01-31,Milaan,
Gebr. Kerremans,,,,,
Gebr. van R.,,,,,
Gebroeders Cordes,,,,,
Gebroeders Delboy,,,,,
Gebroeders Sanders,,,,,
Gebrüder Matter,,,,,
Geertruydt Roghman,Amsterdam,1625-10-19,1657,Amsterdam,
Geldolph Adriaan Kessler,Batavia,1884-04-02,1945-08-21,Velsen,
Geo Poggenbeek,Amsterdam,1853-07-20,1903-01-04,Amsterdam,
Georg Christoph Eimmart (II),Regensburg,1638,1705-01-05,Neurenberg,
Georg David Matthieu,Berlijn,1737-11-20,1778-11-03,Ludwigslust,
Georg Eduard Otto Saal,Koblenz,1817-03-11,1870-10-03,Baden-Baden,
Georg Hainz,,,,Hamburg,
Georg Keller,Frankfurt am Main,1568-09-09,1634-11-08,Frankfurt am Main,
Georg Knittel,,,,,
Georg Koppmann,,1842,1909,,
Georg Maria Eckert,Heidelberg,1828,1901,Karlsruhe,
Georg Martin Preissler,Neurenberg,1700-09-06,1754,Neurenberg,
George Andries Roth,Amsterdam,1809-09-11,1887-07-28,Amsterdam,
George Bankart,,1829,1916,,
George Behrens,,,,,
George Chinnery,Londen,1774,1852,Macao,
George D. Dornin,,1830,1907,,
George Downes,,1812,1877,,
George Gillis Haanen,Utrecht,1807-08-23,1881,Bilsen,
George Glanville,,1846,1925,,
George Grantham Bain,Chicago,1865-01-07,1944-04-20,Manhattan,
George Hendrik Breitner,Rotterdam,1857-09-12,1923-06-05,Amsterdam,
George Jacobus Johannes van Os,Amsterdam,1805-07-30,1841-01-14,Amsterdam,
George Jooss,Brielle,1799-04-30,1845-03-20,Dinther,
George Kockers,,,,,
George Lance,,1802-03-24,1864-06-18,Birkenhead (Merseyside),
George Lodewijk Mulder,Haarlem,1841,1920-05-25,Utrecht,
George Pieter Westenberg,Nijmegen,1791-09-11,1873-12-26,Brummen,
George Washington Wilson,Alvah Aberdeenshire,1823-02-07,1893,Aberdeen,
George van der Mijn,Londen,1728,1763-12-10,Amsterdam,
Georges Johannes Hoffmann,Den Haag,1833-01-24,1873-11-28,Den Haag,
Georges Penabert,Pyrénées-Atlantiques,1825-04-23,1903-12-27,Parijs,
Georges Raynaud,,,,,
Georgius Jacobus Johannes van Os,Den Haag,1782-11-20,1861-07-24,Parijs,
Gerard Bilders,Utrecht,1838-12-09,1865-03-08,Amsterdam,
Gerard Dou,Leiden,1613-04-07,1675,Leiden,
Gerard Edelinck,Antwerpen,1640-10-20,1707-04-02,Parijs,
Gerard Hoet (I),Zaltbommel,1648-08-22,1733-12-02,Den Haag,
Gerard Houckgeest,Den Haag,1600,1661-08,Bergen op Zoom,
Gerard Seghers,Antwerpen,1591,1651-03-18,Antwerpen,
Gerard Sibelius,Amsterdam,1734-05-12,1785-02-11,Londen,
Gerard Valck,Amsterdam,1652,1726-10-21,Amsterdam,
Gerard de Jode,Nijmegen,1516,1591-02-05,Antwerpen,
Gerard de Lairesse,Luik,1641,1711,Amsterdam,
Gerard ter Borch (II),Zwolle,1617-12,1681-12-08,Deventer,
Gerard van Groeningen,,1515,1599,,
Gerard van Honthorst,Utrecht,1592-11-04,1656-04-27,Utrecht,
Gerard van Houten,,,1706-09-08,Amsterdam,
Gerard van Kuijl,Gorinchem,1604-01-30,1673-03-06,Gorinchem,
Gerard van Nijmegen,Rotterdam,1735-11-18,1808-04-29,Rotterdam,
Gerard van Spaendonck,Tilburg,1746-03-22,1822-05-11,Parijs,
Gerard van der Horst,Rheinbach,1582,1629,Kampen,
Gerardina Jacoba van de Sande Bakhuyzen,Den Haag,1826-07-27,1895-09-19,Den Haag,
Gerardus Emaus de Micault,Dordrecht,1798-02-17,1863-11-25,Gouda,
Gerardus Laurentius Keultjes,Utrecht,1786-08-10,,,
Gerardus Terlaak,Den Haag,1820-08-15,1865-04-27,Elburg,
Gerardus Wilhelmus Kerremans,Breda,1826-02-11,,,
Gerbrand Ban,,,,,
Gerbrand van den Eeckhout,Amsterdam,1621-08-19,1674-09-29,Amsterdam,
German Wolf,Tuttlingen,1830-10-12,1890-04-17,Konstanz,
Gerolamo Imperiale,,,1660,,
Gerret Willemsz. Heda,,1626,1649-07-31,,
Gerrit Adriaensz. Berckheyde,Haarlem,1638-06-06,1698-06-14,Haarlem,
Gerrit Adriaensz. de Heer,Leeuwarden,1606,1670,Amsterdam,
Gerrit Backhuijzen,Amsterdam,1721-01-29,1760-12-27,Rotterdam,
Gerrit Dirk Siewers,Edam,1846-10-03,1899-07-11,Amsterdam,
Gerrit Gerritsz van Fenaem,,1639,,,
Gerrit Groenewegen,Rotterdam,1754,1826-08-07,Rotterdam,
Gerrit Hendricus Heinen,,,,,
Gerrit Jan Michaëlis,Amsterdam,1775-04-28,1857-10-31,Haarlem,
Gerrit Lundens,Amsterdam,1622-09-27,1686,Amsterdam,
Gerrit Rutgers Eijbrink,Amsterdam,1819-04-20,1882-03-02,Amsterdam,
Gerrit Willem Dijsselhof,Zwollerkerspel,1866-02-08,1924-06-14,Overveen,
Gerrit de Grendel,,,,,
Gerrit de Haen,,,,,
Gerrit de Wet,,,1674,Leiden,
Gerrit van Blaaderen,Nieuwer-Amstel,1873-06-18,1935-09-10,Bergen,
Gerrit van Goor,Haarlem,1634,1694,Batavia,
Gerrit van Santen,,1611,1687,Den Haag,
Gerrit van Vucht,,1610,1697-11-19,Schiedam,
Gertrude Käsebier,Iowa,1852-05-18,1934-10-13,New York,
Gesina ter Borch,Zwolle,1633-11-15,1690-04-16,Deventer,
Gherardo Starnina,,1360,1413,,
Ghémar Frères,,,,,
Giacinto Diana,Pozzuoli,1731-03-28,1803-08-13,Napels,
Giacomo Brogi,,1822-04-06,1881-11-29,,
Giacomo Guardi,Venetië,1764-04-13,1835-11-03,Venetië,
Giacomo Laurenziani,,1600,1650,,
Giacomo Rossetti,Marone,1807,1882,Brescia,
Giambattista Moroni,Bondio,1525,1578-02-05,Bergamo,
Giampetrino,,1520,,,
Gideon Quineau,Châteaudun,1685,,,
Gijsbert Gillisz. de Hondecoeter,Utrecht,1604,1653-08-29,Utrecht,
Gijsbert van Veen,Leiden,1562,1628,Antwerpen,
Gijsbertus Arnoldus Gretser,Den Haag,1815,1864-02-17,Delft,
Gijsbertus Derksen,Doesburg,1870-11-25,1920-04-23,Arnhem,
Gilles Antoine Demarteau,Luik,1756,1802-09-08,Parijs,
Gilles Demarteau,Luik,1722-01-19,1776-07-31,Parijs,
Gilles Neyts,Gent,1623,,Antwerpen,
Gilles Rousselet,,1610,1686-07-15,Parijs,
Gilliam van der Gouwen,Antwerpen,,1740,Haarlem,
Gillis Claesz. de Hondecoeter,Antwerpen,1580,1638-10-17,Amsterdam,
Gillis Mostaert (I),Hulst,1530,1598-12-28,Antwerpen,
Gillis Peeters (I),Antwerpen,1612-01-23,1653-03-12,Antwerpen,
Gillis van Scheyndel (I),,1595,1660-12-24,,
Giorgio Conrad,,1827,1889-01-07,,
Giorgio Sommer,Frankfurt am Main,1834-09-02,1914-08-07,Napels,
Giovanni Battista Brustoloni,Venetië,1712,1796,,
Giovanni Battista Cima da Conegliano,,,,,
Giovanni Battista Fontana,Trento,1524,1587-09-25,Innsbruck,
Giovanni Battista Mengardi,Padua,1738,1796,Venetië,
Giovanni Battista Piranesi,Mogliano Veneto,1720-10-04,1778-11-09,Rome,
Giovanni Battista Pittoni (I),Vicenza,1520,1583,Vicenza,
Giovanni Battista Recco,,1630,1675,,
Giovanni Battista Salvi,Sassoferrato,1609-08-29,1685-08-08,Rome,
Giovanni Battista Tiepolo,Venetië,1696-03-05,1770-03-27,Madrid,
Giovanni Bellini,Venetië,1430,1516-11-29,Venetië,
Giovanni David,Gabella,1743,1790-01-25,Genua,
Giovanni Lanfranco,Parma,1582-01-26,1647-11-30,Rome,
Giovanni Ottaviani,Rome,1735,1808,,
Giovanni Volpato,Bassano del Grappa,1740,1803,Rome,
Giovanni da Francia,,,,,
Giovanni da Milano,,,,,
Giovanni di Francesco del Cervelliera,,,1459,Florence,
Giovanni di Paolo di Grazia,Siena,1403,1483,,
Girolamo Sicciolante,Sermoneta,1521,1580,Rome,
Girolamo da Santacroce (ca.1480-1556),Santa Croce,1500,1556-07-09,Venetië,
Girolamo da Treviso I,,1450,1497,,
Gisling,,,,,
Giulio Bonasone,Bologna,1510,1576,Bologna,
Giulio Chiarugi,,,,,
Giulio Sanuto,,,,,
Giuseppe Brachetti,,,,,
Giuseppe Bruno,Sicilië,1836,1904,Taormina,
Giuseppe Longhi,Monza,1766,1831-01-02,Milaan,
Giuseppe Malignani,Udine,1812-04-12,1878-03-18,Udine,
Giuseppe Marzocchini,Livorno,1802,1865,Livorno,
Giuseppe Vasi,Corleone,1710-08-28,1782-04-16,Rome,
Giuseppe Zaïs,Forno di Canale,1709-03-22,1784,Treviso,
Glasgow Architectural Society,,,,,
Glenisson,,,,,
Godaert Kamper,Düsseldorf,1614,1679-11-18,Leiden,
Godfried Schalcken,Made,1643,1706-11-16,Den Haag,
Godfried de Jong,Deventer,1832-06-24,1918-01-03,Haarlem,
Gortzius Geldorp,Leuven,1553,1619,Keulen,
Gottfried Bernhard Götz,Wehlerad,1708,1774,Augsburg,
Gottfried Boy,Frankfurt am Main,1701-05-20,1755-01-16,Hannover,
Gottfried Eichler (II),Augsburg,1715,1770,Augsburg,
Gottfried Kneller,Lübeck,1646-08-08,1723-10-19,Londen,
Goupil & Cie.,,,,,
Govert Dircksz. Camphuysen,,1624,1672,Amsterdam,
Govert Flinck,Kleef,1615-01-25,1660-02-02,Amsterdam,
Grotta,,,,,
Guercino,Cento,1591-02-08,1666-12-22,Bologna,
Guglielmo von Plüschow,Wismar,1852,1930,Berlijn,
Guido Reni,Calvenzano,1575-11-04,1642-08-18,Bologna,
Guido Rey,Turijn,1861,1935,Turijn,
Guillam Du Bois,,1625,1680-07-07,Haarlem,
Guillaume Anne van der Brugghen,Nijmegen,1812,1891-07-18,Ubbergen,
Guillaume Vogels,Brussel,1836-06-09,1896-01-09,Elsene,
Guillaume de Spinny,Brussel,1721,1785-10-13,,
Guilliam du Gardijn,Keulen,1597,1657,Amsterdam,
Gust van de Wall Perné,Apeldoorn,1877-05-18,1911-12-27,Amsterdam,
Gustaaf Adolf Mögle,,1863-12-12,1914-03-26,Den Haag,
Gustaaf Oosterhuis,,1858-04-23,1938-08-03,,
Gustav Eilers,Königsberg,1834,1911-01-27,Berlijn,
Gustav Jägermayer & Co.,Wenen,1834-11-14,1901-08-05,Salzburg,
Gustav-Adolphe Diez,Mechelen,1801,1844-07-05,Brussel,
Gustave Courbet,Ornans,1819-06-10,1877-12-31,La Tour-de-Peilz,
Gustave Eugène Chauffourier,,1845,1919,Rome,
Gustave Le Gray,Villiers-le-Bel,1820,1884,,
Gustave Pierre Louis Aimé Margain,Grenoble,1826-12-06,1907-11-21,Savoie,
Gustave Touzery (le jeune),,,,,
Gustave Wappers,Antwerpen,1803-08-23,1874-12-06,Parijs,
Guy de Coral & Co.,,,,,
Gyger & Klopfenstein,,,,,
H. Barten,,,,,
H. Benjamin,,,,,
H. Brailly & A. Roure,,,,,
H. Carlinck,,,,,
H. Ekama,,,,,
H. Elandt,,,,,
H. Garlinck,,,,,
H. Lavaud,,,,,
H. Prothmann,,,,,
H. Roucoma,,,,,
H. Sanders & Co.,,,,,
H. Smith,,,,,
H. Vines,,,,,
H. van der Zijl,Veendam,1852,1937,Apeldoorn,
H.C. Booth,,,,,
H.J. Davison,,,,,
H.J. Schmidt,,,,,
H.J. Tollens C. Hzn.,Dordrecht,1864,1936,Hillegersberg,
H.Ph.J. Schuiten,Groningen,1820-01-02,1869,,
H.R. Williams,,,,,
H.Th. Hesselaar,,1821,1858,,
H.W. Schrier,,,,,
Hahn's Nacht,,,,,
Han van Meegeren,Deventer,1889-10-10,1947-12-30,Amsterdam,
Hanfstaengl,,,,,
Hannké,,,,,
Hanns Hanfstaengl,Baierrain,1820,1885-04-15,Berlijn,
Hans Ammon,,,1632-02-24,,
Hans Bol,Mechelen,1534,1593-11-20,Amsterdam,
Hans Bollongier,Haarlem,1602,1675,Haarlem,
Hans Collaert (I),Brussel,1540,1581,,
Hans Horions,Utrecht,1624,1672-10-14,Utrecht,
Hans Hysing,Stockholm,1678,1753,Londen,
Hans Liefrinck (I),Augsburg,1518,1573-02-28,Antwerpen,
Hans Rottenhammer (I),München,1564,1625-08-14,Augsburg,
Hans Savery (I),Kortrijk,1564,1625,,
Hans Sebald Beham,Neurenberg,1502,1550-11-22,Frankfurt am Main,
Hans Sibmacher,,,1611-03-23,Neurenberg,
Hans Thoma,Bernau,1839-10-02,1924-11-07,Karlsruhe,
Hans Vredeman de Vries,Leeuwarden,1527,1607,,
Hans von Aachen,Keulen,1552,1616-01-06,Praag,
Harm Kamerlingh Onnes,Zoeterwoude,1893-02-15,1985-05-20,Leiden,
Harmanus Serin,Gent,1677-06-04,1756-02-27,Den Haag,
Harmanus Uppink,Amsterdam,1765-10-09,1791-05-19,Amsterdam,
Harmanus Vinkeles,Amsterdam,1745-04-21,1825,,
Harmanus van Loon,,1649,,,
Harmen Jansz Muller,Amsterdam,1540,1617-10-07,Amsterdam,
Harmen Steenwijck,Delft,1622,1676,,
Harmen Willems Wieringa,Wier,1599,1650-06-29,Leeuwarden,
Hashiguchi Goyô,,1880,1921,,
Hch. Büssenschütt,,,,,
Hein Burgers,Huissen,1834-01-09,1899-10-11,Parijs,
Hein von Essen,Soerabaja,1886,1947-07-07,Den Haag,
Heinrich Aldegrever,Paderborn,1502,1561,Soest (Duitsland),
Heinrich Daseking,,,,,
Heinrich Ernst & Co,,,,,
Heinrich Fischer,,1820-04-20,1886-10-26,Zürich,
Heinrich Fuchs (fotograaf),Bautzen,1861-07-06,1897-09-22,Den Haag,
Heinrich Graf,Berlijn,1835-02-07,1906,Berlijn,
Heinrich Steinhauer,Aken,1838-12-29,,,
Heinrich Wilhelm Wollrabe,Hamburg,1843-12-01,1928,Den Haag,
Heinrich Wirich,,,1600-12-31,Frankfurt am Main,
Hendrick Aerts,Mechelen,1574,1603-01,Danzig,
Hendrick Avercamp,Amsterdam,1585,1634,Kampen,
Hendrick Berckman,,1629,1679,,
Hendrick Bloemaert,Utrecht,1601,1672-12,,
Hendrick Cornelisz. van Vliet,Delft,1612,1675-10-28,Delft,
Hendrick Danckerts,Den Haag,1625,1679,,
Hendrick Doncker (I),,1626,1699,,
Hendrick Goltzius,Bracht,1558-01,1617-01-01,Haarlem,
Hendrick Heerschop,Haarlem,1627,1690-12-09,,
Hendrick Hondius (I),Duffel,1573-06-09,1650-10-25,Den Haag,
Hendrick Jacobsz. Dubbels,Amsterdam,1621-05-02,1707-10-20,Amsterdam,
Hendrick Lambertsz. Roghman,Amsterdam,1600,1647,,
Hendrick Martensz. Sorgh,Rotterdam,1611,1670-06-28,Rotterdam,
Hendrick Mommers,Haarlem,1623,1693-12-21,Amsterdam,
Hendrick baron van Ruse van Rysensteen,Ruinen,1624-04-09,1679-02-22,Sauwerd,
Hendrick de Keyser (I),Utrecht,1565-05-15,1621-05-15,Amsterdam,
Hendrick de Meijer,,1620,1698,,
Hendrick de Valk,Leeuwarden,1674-10-07,1719,Leeuwarden,
Hendrick ten Oever,Zwolle,1639-04-11,1716-06-15,Zwolle,
Hendrick ter Brugghen,Utrecht,1588,1629-11-01,Utrecht,
Hendrick van Anthonissen,Amsterdam,1605-05-29,1656,Amsterdam,
Hendrick van Schoel,,,1622-07,Rome,
Hendrick van Someren,Amsterdam,1615-07-23,1685,Amsterdam,
Hendrick van der Burch,,1627,1666,,
Hendrik Bary,Gouda,1640,1707-02,Gouda,
Hendrik Carré (II),Den Haag,1696,1775-03-22,Den Haag,
Hendrik Cornelisz. Vroom,Haarlem,1566,1640-02-04,Haarlem,
Hendrik Dethier,Dordrecht,1610-10-31,1634,,
Hendrik Doijer,,,,,
Hendrik Donnet,Danzig,,,,
Hendrik Dunlop,,1867,1944,,
Hendrik Gerrit ten Cate,Amsterdam,1803-02-22,1856-03-06,Amsterdam,
Hendrik Gerritsz. Pot,Amsterdam,1581,1657-10-15,Amsterdam,
Hendrik Hermanus Roelse,Vrouwenpolder,1831-12-03,1872-08-21,Middelburg,
Hendrik Hollander Cz.,Leeuwarden,1823-08-07,1884-06-01,Amsterdam,
Hendrik Jacobus Scholten,Amsterdam,1824-07-11,1907-05-29,Heemstede,
Hendrik Johannes Haverman,Amsterdam,1857-10-23,1928-08-11,Den Haag,
Hendrik Keun,Haarlem,1738-08-14,1787-02-16,Haarlem,
Hendrik Kobell,Rotterdam,1751-09-13,1779-08-03,Rotterdam,
Hendrik Meerman,,,1650,,
Hendrik Nicolaas Waalewijn,Haarlem,1847-03-20,1914-08-20,Haarlem,
Hendrik Noorderwiel,Den Haag,1620,1661-07-06,Den Haag,
Hendrik Numan,Amsterdam,1736-03-21,1788,Amsterdam,
Hendrik Pola,,1676,1748,Den Haag,
Hendrik Pothoven,Amsterdam,1725-12-25,1807-01-25,Den Haag,
Hendrik Potuyl,,,,,
Hendrik R. van Rossen,,,,,
Hendrik Roosing,Utrecht,1763,1826-07-07,Rotterdam,
Hendrik Rudolph Voet,,,,,
Hendrik Schwegman,Haarlem,1761-05-09,1816-01-24,Haarlem,
Hendrik Spilman,Amsterdam,1721-02-17,1784,Haarlem,
Hendrik Stokvisch,Baambrugge,1768-02-06,1820-09-18,Amsterdam,
Hendrik Udemans,Veere,1622,1659,,
Hendrik Valkenburg,Terwolde,1826-09-08,1896-10-29,Amsterdam,
Hendrik Vettewinkel,Amsterdam,1809-10-20,1878-05-08,Amsterdam,
Hendrik Voogd,Amsterdam,1768-07-10,1839-09-04,Rome,
Hendrik Willem Mesdag,Groningen,1831-02-23,1915-07-10,Den Haag,
Hendrik Willem Schweickhardt,Hamm,1746-04-03,1797-07-08,Londen,
Hendrik de Clerck,Brussel,1570,1630-08-27,Brussel,
Hendrik van Balen (I),Antwerpen,1573,1632-07-17,Antwerpen,
Hendrik van Limborch,Den Haag,1681-03-09,1759-02-03,Den Haag,
Hendrik van Maarseveen,,,1792-11-17,Amsterdam,
Hendrik van Schuylenburgh,Middelburg,1620,1689,Middelburg,
Hendrik van Steenwijck (I),Kampen,1550,1603-06-01,Frankfurt am Main,
Hendrik van den Bosch,,,,,
Hendrikus van de Sande Bakhuyzen,Den Haag,1795-01-02,1860-12-12,Den Haag,
Henk Hartog,Nijmegen,1915-11-18,1942,,
Hennah & Kent,,,,,
Henri Beck,,,,,
Henri Béchard,,,,,
Henri Fantin-Latour,Grenoble,1836-01-14,1904-08-25,Buré,
Henri Frederic Oelrichs,,1851-02-24,1915,,
Henri Joseph Huet,,1815-06-18,,,
Henri Langerock,Gent,1830-01-29,1915-12-21,Parijs,
Henri Le Secq,Parijs,1818-08-18,1882-12-26,Parijs,
Henri Leys (baron),Antwerpen,1815-02-18,1869-08-26,Antwerpen,
Henri Marais,,1768,,,
Henri Plaut,Parijs,1819,1870,,
Henri Pronk,Amsterdam,1813-01-19,1893-01-21,Nijmegen,
Henri Sallembier,Parijs,1753,1820-10-01,Parijs,
Henri Voordecker,Brussel,1779-08-26,1861-12,Brussel,
Henri de La Blanchère,,1821,1880,,
Henri de Louw,Den Haag,1851-12-14,1944-06-29,Den Haag,
Henri de Paauw,Haarlem,1849-06-23,1922-06-11,Ede,
Henri de Toulouse-Lautrec,Albi,1864-11-24,1901-09-09,Château Malromé,
Henri van Assche,Brussel,1774,1841-04-10,Brussel,
Henrick Rochuszn van Dagen,Amsterdam,1633-08-14,1664,,
Henricus Franciscus Wiertz,Amsterdam,1784-10-07,1858-06-07,Nijmegen,
Henricus Rol,Amsterdam,1906-06-23,1992-08-29,Noorden,
Henricus Turken,Eindhoven,1791-12-10,1856,Luik,
Henricus Wilhelmus Couwenberg,Den Haag,1814,1845-11-17,Amsterdam,
Henriëtta Christina Temminck,Den Haag,1813-10-01,1886-02-04,Den Haag,
Henriëtte Ronner,Amsterdam,1821-05-31,1909-03-02,Brussel,
Henry,,,,,
Henry Baudot,,,,,
Henry Death,,,,,
Henry Dixon,Napels,1824-03-29,1883-03-16,Engeland,
Henry Ferguson,Den Haag,1665,1730,Toulouse,
Henry George Austin,Canterbury,1823,1892-07-25,Canterbury,
Henry Joseph Whitlock,Olney,1835,1918,,
Henry Pauw van Wieldrecht,Zeist,1863-10-24,1912-06-02,Zeist,
Henry W. Taunt,,,,,
Herbert Rose Barraud,,,,,
Hercules Sanders,Amsterdam,1606,1693,,
Hercules Segers,Haarlem,1590,1640,,
Herman Antonie de Bloeme,Den Haag,1802-09-17,1867-10-03,Den Haag,
Herman Bückmann,Den Haag,1820-09-19,1884-08-28,Gouda,
Herman Deutmann,Zwolle,1870-06-08,1926-12-25,Den Haag,
Herman Frederik Carel ten Kate,Den Haag,1822-02-16,1891-03-26,Den Haag,
Herman Frederik van Hengel,Nijmegen,1705,1785,Utrecht,
Herman Kruyder,Lage Vuursche,1881-06-07,1935-04-29,Amsterdam,
Herman Meynderts Doncker,,1620,1656,,
Herman Saftleven,Rotterdam,1609,1685-01-05,Utrecht,
Herman Salzwedel,,,,,
Herman Verelst,,1642,1702,Londen,
Herman Wolbers,Heemstede,1856-05-27,1926-12-29,Den Haag,
Herman van Swanevelt,Woerden,1604,1655,Parijs,
Herman van Vollenhoven,Utrecht,1595,1648,Utrecht,
Herman van der Mijn,Amsterdam,1684,,Londen,
Hermann Günther,,,,,
Hermann Hartmann,,,,,
Hermann Heid,Darmstadt,1834-12-17,1891,,
Hermann Herzfeld,,,,,
Hermann Krone,Breslau,1826,1916,,
Hermann Rückwardt,,1845,1919,,
Hermanus Fock,Amsterdam,1766-11-01,1822-09-27,Franeker,
Hermanus Jan Hendrik van Rijkelijkhuysen,Utrecht,1813-10-17,1883-09-15,Utrecht,
Hermanus Jodocus Weesing,Amsterdam,1844-08-01,1910-03-24,Amsterdam,
Hermanus Numan,Ezinge,1744,1820-03-09,Amsterdam,
